State,Share of Trips
California,45.08%
Arizona,7.86%
Texas,6.44%
Nevada,4.15%
Colorado,2.78%
Florida,2.61%
Utah,2.32%
Washington,2.27%
Illinois,2.02%
New York,1.97%
Georgia,1.34%
Oregon,1.31%
New Jersey,1.19%
Ohio,1.17%
North Carolina,1.17%
Michigan,1.14%
Pennsylvania,1.08%
Tennessee,1.03%
Virginia,0.97%
Missouri,0.95%
Minnesota,0.85%
Idaho,0.85%
Massachusetts,0.76%
Indiana,0.75%
Maryland,0.66%
Oklahoma,0.66%
Wisconsin,0.57%
Hawaii,0.54%
South Carolina,0.51%
Kansas,0.51%
Alabama,0.45%
New Mexico,0.42%
Louisiana,0.42%
Connecticut,0.41%
Arkansas,0.40%
Kentucky,0.38%
Iowa,0.33%
Nebraska,0.32%
Montana,0.26%
Mississippi,0.19%
District of Columbia,0.14%
New Hampshire,0.11%
Wyoming,0.10%
Rhode Island,0.10%
South Dakota,0.09%
Delaware,0.08%
Maine,0.08%
North Dakota,0.07%
West Virginia,0.07%
Alaska,0.06%
Vermont,0.03%
Puerto Rico,0.00%
